time,Pyro [uV],IR_S_u
2023-06-14 00:48:54-05:00,31,0.0
2023-06-14 00:49:00-05:00,31,0.0
2023-06-14 00:49:06-05:00,31,0.0
2023-06-14 00:49:12-05:00,31,0.0
2023-06-14 00:49:18-05:00,31,0.0
2023-06-14 00:49:24-05:00,31,0.0
2023-06-14 00:49:30-05:00,31,0.0
2023-06-14 00:49:36-05:00,31,0.0
2023-06-14 00:49:42-05:00,31,0.0
2023-06-14 00:49:48-05:00,31,0.0
2023-06-14 00:49:54-05:00,31,0.0
2023-06-14 00:50:00-05:00,31,0.0
2023-06-14 00:50:06-05:00,31,0.0
2023-06-14 00:50:12-05:00,31,0.0
2023-06-14 00:50:18-05:00,31,0.0
2023-06-14 00:50:24-05:00,31,0.0
2023-06-14 00:50:30-05:00,31,0.0
2023-06-14 00:50:36-05:00,31,0.0
2023-06-14 00:50:42-05:00,31,0.0
2023-06-14 00:50:48-05:00,31,0.0
2023-06-14 00:50:54-05:00,31,0.0
2023-06-14 00:51:00-05:00,31,0.0
2023-06-14 00:51:06-05:00,31,0.0
2023-06-14 00:51:12-05:00,31,0.0
2023-06-14 00:51:18-05:00,31,0.0
2023-06-14 00:51:24-05:00,31,0.0
2023-06-14 00:51:30-05:00,31,0.0
2023-06-14 00:51:36-05:00,31,0.0
2023-06-14 00:51:42-05:00,31,0.0
2023-06-14 00:51:48-05:00,31,0.0
2023-06-14 00:51:54-05:00,31,0.0
2023-06-14 00:52:00-05:00,31,0.0
2023-06-14 00:52:06-05:00,31,0.0
2023-06-14 00:52:12-05:00,31,0.0
2023-06-14 00:52:18-05:00,31,0.0
2023-06-14 00:52:24-05:00,31,0.0
2023-06-14 00:52:30-05:00,31,0.0
2023-06-14 00:52:36-05:00,31,0.0
2023-06-14 00:52:42-05:00,31,0.0
2023-06-14 00:52:48-05:00,31,0.0
2023-06-14 00:52:54-05:00,31,0.0
2023-06-14 00:53:00-05:00,31,0.0
2023-06-14 00:53:06-05:00,31,0.0
2023-06-14 00:53:12-05:00,31,0.0
2023-06-14 00:53:18-05:00,31,0.0
2023-06-14 00:53:24-05:00,31,0.0
2023-06-14 00:53:30-05:00,31,0.0
2023-06-14 00:53:36-05:00,31,0.0
2023-06-14 00:53:42-05:00,31,0.0
2023-06-14 00:53:48-05:00,31,0.0
2023-06-14 00:53:54-05:00,31,0.0
2023-06-14 00:54:00-05:00,31,0.0
2023-06-14 00:54:06-05:00,31,0.0
2023-06-14 00:54:12-05:00,31,0.0
2023-06-14 00:54:18-05:00,31,0.0
2023-06-14 00:54:24-05:00,31,0.0
2023-06-14 00:54:30-05:00,31,0.0
2023-06-14 00:54:36-05:00,31,0.0
2023-06-14 00:54:42-05:00,31,0.0
2023-06-14 00:54:48-05:00,31,0.0
2023-06-14 00:54:54-05:00,31,0.0
2023-06-14 00:55:00-05:00,31,0.0
2023-06-14 00:55:06-05:00,31,0.0
2023-06-14 00:55:12-05:00,31,0.0
2023-06-14 00:55:18-05:00,31,0.0
2023-06-14 00:55:24-05:00,31,0.0
2023-06-14 00:55:30-05:00,31,0.0
2023-06-14 00:55:36-05:00,31,0.0
2023-06-14 00:55:42-05:00,31,0.0
2023-06-14 00:55:48-05:00,31,0.0
2023-06-14 00:55:54-05:00,31,0.0
2023-06-14 00:56:00-05:00,31,0.0
2023-06-14 00:56:06-05:00,31,0.0
2023-06-14 00:56:12-05:00,31,0.0
2023-06-14 00:56:18-05:00,31,0.0
